videoID|cc|testID|probeID|Latitude|Longitude|Resolution
Op5lWgte-80|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
Op5lWgte-80|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
Op5lWgte-80|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
Op5lWgte-80|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
Op5lWgte-80|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
0NsxD7APUoU|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
0NsxD7APUoU|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
0NsxD7APUoU|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
0NsxD7APUoU|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
0NsxD7APUoU|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
cm89uUm8dpk|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
cm89uUm8dpk|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
cm89uUm8dpk|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
cm89uUm8dpk|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
cm89uUm8dpk|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
R9J1MWmkr5s|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
R9J1MWmkr5s|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
R9J1MWmkr5s|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
R9J1MWmkr5s|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
R9J1MWmkr5s|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
cbuqaSZ_1hQ|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
cbuqaSZ_1hQ|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
cbuqaSZ_1hQ|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
cbuqaSZ_1hQ|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
cbuqaSZ_1hQ|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
b5Zy1lx7gh0|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
b5Zy1lx7gh0|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
b5Zy1lx7gh0|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
b5Zy1lx7gh0|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
b5Zy1lx7gh0|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
IY932-CWtXw|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
IY932-CWtXw|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
IY932-CWtXw|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
IY932-CWtXw|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
IY932-CWtXw|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
LgJK_xwMm_8|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
LgJK_xwMm_8|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
LgJK_xwMm_8|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
LgJK_xwMm_8|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
LgJK_xwMm_8|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
jSP3Yeag2UM|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
jSP3Yeag2UM|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
jSP3Yeag2UM|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
jSP3Yeag2UM|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
jSP3Yeag2UM|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
3DaRSMzeGTg|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|SMALL_RES
3DaRSMzeGTg|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|MEDIUM_RES
3DaRSMzeGTg|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|LARGE_RES
3DaRSMzeGTg|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD720_RES
3DaRSMzeGTg|ZW||ee9579c4-65b0-4022-a765-a5105b208137|-17.82|31.04|HD1080_RES
